"date","sprzedaz"
"2024-07-01",105
"2024-07-02",101
"2024-07-03",107
"2024-07-04",111
"2024-07-05",104
"2024-07-06",125
"2024-07-07",135
"2024-07-08",101
"2024-07-09",99
"2024-07-10",NA
"2024-07-11",100
"2024-07-12",89
"2024-07-13",125
"2024-07-14",140
"2024-07-15",112
"2024-07-16",102
"2024-07-17",104
"2024-07-18",108
"2024-07-19",94
"2024-07-20",149
"2024-07-23",129
"2024-07-24",111
"2024-07-25",105
"2024-07-26",96
"2024-07-27",124
"2024-07-28",137
"2024-07-29",104
"2024-07-30",113
"2024-07-31",100
"2024-08-01",123
"2024-08-02",98
"2024-08-03",138
"2024-08-04",134
"2024-08-05",99
"2024-08-06",112
"2024-08-07",98
"2024-08-08",117
"2024-08-10",145
"2024-08-11",152
"2024-08-12",106
"2024-08-13",108
"2024-08-14",99
"2024-08-15",121
"2024-08-16",NA
"2024-08-17",138
"2024-08-18",149
"2024-08-19",117
"2024-08-20",116
"2024-08-21",NA
"2024-08-22",112
"2024-08-23",122
"2024-08-24",142
"2024-08-25",153
"2024-08-26",NA
"2024-08-27",108
"2024-08-28",109
"2024-09-01",150
"2024-09-02",127
"2024-09-03",107
"2024-09-04",97
"2024-09-05",110
"2024-09-06",114
"2024-09-07",156
"2024-09-08",144
"2024-09-09",117
"2024-09-10",112
"2024-09-11",112
"2024-09-12",100
"2024-09-13",114
"2024-09-14",152
"2024-09-15",145
"2024-09-16",132
"2024-09-17",114
"2024-09-18",115
"2024-09-19",111
"2024-09-20",132
"2024-09-21",147
"2024-09-22",143
"2024-09-24",121
"2024-09-25",132
"2024-09-26",114
"2024-09-27",114
"2024-09-30",116
"2024-10-01",137
"2024-10-02",124
"2024-10-03",120
"2024-10-04",116
"2024-10-05",135
"2024-10-06",143
"2024-10-07",118
"2024-10-08",NA
"2024-10-09",NA
"2024-10-10",NA
"2024-10-11",NA
"2024-10-12",153
"2024-10-13",146
"2024-10-14",126
"2024-10-15",117
"2024-10-16",139
"2024-10-17",130
"2024-10-18",137
"2024-10-19",143
"2024-10-20",155
"2024-10-21",NA
"2024-10-22",113
"2024-10-23",128
"2024-10-24",138
"2024-10-25",117
"2024-10-26",154
"2024-10-28",127
"2024-10-29",125
"2024-10-30",124
"2024-10-31",127
"2024-11-01",120
"2024-11-02",158
"2024-11-03",161
"2024-11-04",121
"2024-11-05",NA
"2024-11-06",118
"2024-11-07",131
"2024-11-08",139
"2024-11-09",158
"2024-11-10",158
"2024-11-11",123
"2024-11-12",126
"2024-11-13",146
"2024-11-14",126
"2024-11-15",134
"2024-11-16",151
"2024-11-17",173
"2024-11-18",NA
"2024-11-19",120
"2024-11-20",143
"2024-11-21",141
"2024-11-22",134
"2024-11-23",157
"2024-11-24",157
"2024-11-25",145
"2024-11-26",141
"2024-11-27",138
"2024-11-28",134
"2024-11-29",NA
"2024-11-30",161
"2024-12-01",159
"2024-12-02",137
"2024-12-03",NA
"2024-12-04",145
"2024-12-05",149
"2024-12-06",145
"2024-12-07",177
"2024-12-08",172
"2024-12-09",NA
"2024-12-10",140
"2024-12-11",140
"2024-12-12",134
"2024-12-13",128
"2024-12-14",168
"2024-12-15",NA
"2024-12-17",149
"2024-12-18",151
"2024-12-20",145
"2024-12-21",176
"2024-12-22",192
"2024-12-23",154
"2024-12-24",139
"2024-12-25",152
"2024-12-26",130
"2024-12-27",137
"2024-12-28",175
"2024-12-29",183
"2024-12-30",157
"2024-12-31",151
